Strain	Bead	Day	Dilu	Trial	Count
CR2-CR4	L	25	3	3	56
CR2-CR4	H	25	3	1	0
CR2-CR4	H	25	3	2	72
CR2-CR4	H	25	3	3	36
CR2	C	26	3	1	33
CR2	C	26	3	2	34
CR2	C	26	3	3	18
CR2	L	26	3	1	64
CR2	L	26	3	2	134
CR2	L	26	3	3	112
CR2	H	26	3	1	73
CR2	H	26	3	2	0
CR2	H	26	3	3	124
CR4	C	26	3	1	9
CR4	C	26	3	2	92
CR4	C	26	3	3	6
CR4	L	26	3	1	66
CR4	L	26	3	2	82
CR4	L	26	3	3	94
CR4	H	26	3	1	17
CR4	H	26	3	2	1
CR4	H	26	3	3	30
CR2-CR4	C	26	3	1	120
CR2-CR4	C	26	3	2	23
CR2-CR4	C	26	3	3	84
CR2-CR4	L	26	3	1	58
CR2-CR4	L	26	3	2	128
CR2-CR4	L	26	3	3	68
CR2-CR4	H	26	3	1	0
CR2-CR4	H	26	3	2	74
CR2-CR4	H	26	3	3	32
CR2	C	27	3	1	50
CR2	C	27	3	2	37
CR2	C	27	3	3	1
CR2	L	27	3	1	66
CR2	L	27	3	2	160
CR2	L	27	3	3	118
CR2	H	27	3	1	44
CR2	H	27	3	2	0
CR2	H	27	3	3	126
CR4	C	27	3	1	13
CR4	C	27	3	2	80
CR4	C	27	3	3	5
CR4	L	27	3	1	70
CR4	L	27	3	2	114
CR4	L	27	3	3	97
CR4	H	27	3	1	19
CR4	H	27	3	2	1
CR4	H	27	3	3	30
CR2-CR4	C	27	3	1	126
CR2-CR4	C	27	3	2	54
CR2-CR4	C	27	3	3	78
CR2-CR4	L	27	3	1	92
CR2-CR4	L	27	3	2	108
CR2-CR4	L	27	3	3	98
CR2-CR4	H	27	3	1	0
CR2-CR4	H	27	3	2	58
CR2-CR4	H	27	3	3	40
CR2	C	28	3	1	58
CR2	C	28	3	2	27
CR2	C	28	3	3	0
CR2	L	28	3	1	54
CR2	L	28	3	2	124
CR2	L	28	3	3	116
CR2	H	28	3	1	44
CR2	H	28	3	2	0
CR2	H	28	3	3	106
CR4	C	28	3	1	21
CR4	C	28	3	2	50
CR4	C	28	3	3	3
CR4	L	28	3	1	74
CR4	L	28	3	2	122
CR4	L	28	3	3	106
